Price,Close,High,Low,Open,Volume,Ticker
Ticker,META,META,META,META,META,
Date,,,,,,
2023-01-03,124.15485382080078,125.77721249819784,121.70639436944211,122.24386218953632,35528500,META
2023-01-04,126.77252197265625,128.44464155347868,125.25964789811866,126.7824695961951,32397100,META
2023-01-05,126.34454345703125,127.91713370570422,123.95580002508343,125.53833789766517,25447100,META
2023-01-06,129.4101104736328,129.71865390530434,125.448776392864,128.36503274358685,27584500,META
2023-01-09,128.86268615722656,132.326357996558,128.67357497513657,130.54476117196793,26649100,META
2023-01-10,132.36614990234375,132.814035916678,126.55354137061703,126.67297359118345,28684400,META
2023-01-11,132.26663208007812,133.22213554460268,129.72859071504672,130.34569271415705,25423000,META
2023-01-12,136.06871032714844,137.03414615767494,131.1419182560742,132.8140453994428,30757700,META
2023-01-13,136.33743286132812,136.7455132270694,134.20747204800026,134.33686708767706,22423800,META
2023-01-17,134.7250518798828,136.10853103944976,133.6202580771198,135.54119751417633,21147600,META
2023-01-18,132.39602661132812,136.6061800387928,132.1770573846314,135.1729324412187,20215500,META
2023-01-19,135.51132202148438,136.80522683289115,131.520138170728,131.8685024155259,28625200,META
2023-01-20,138.71621704101562,139.28355048775077,133.97855144399023,135.25254580936195,28688600,META
2023-01-23,142.5979461669922,143.085637930656,138.0095703781944,138.63660481536394,27470100,META
2023-01-24,142.4685516357422,144.31982726888674,140.6969025573494,141.0253564004958,21970200,META
2023-01-25,140.8362274169922,142.49839167075575,139.65180724409703,140.5575421042181,26622000,META
2023-01-26,146.6090545654297,146.81806100166855,142.62781759250404,143.72264864773032,25482100,META
2023-01-27,151.02821350097656,152.4714087082204,146.69861269203298,147.54463153104425,35771900,META
2023-01-30,146.37014770507812,150.4111000524141,146.26066310116065,148.70913006731004,28040100,META
2023-01-31,148.2711944580078,149.17692936326716,146.82799933338794,147.25597494675876,29842100,META
2023-02-01,152.40171813964844,152.85956698881722,146.37014767659468,147.33559867807605,55661000,META
2023-02-02,187.88450622558594,196.23514910781972,179.31489412268525,182.51979069367002,150475700,META
2023-02-03,185.65499877929688,195.8469690777729,182.03207438823733,182.60935546871306,76809700,META
2023-02-06,185.18724060058594,189.80547501224015,184.64978027642204,185.65503717310557,42483800,META
2023-02-07,190.7211151123047,192.8709863031072,183.5349825634411,184.7094551386282,47080700,META
2023-02-08,182.5695343017578,189.93483048696228,182.06193214656355,189.10872214145795,36139100,META
2023-02-09,177.08538818359375,185.7744321256041,176.43844336198575,185.2568823432022,37118800,META
2023-02-10,173.33306884765625,178.05083931725062,172.53683373967021,175.52276095625143,33433600,META
2023-02-13,178.5883026123047,180.15094517244654,174.99525137947225,177.38398711902897,31463200,META
2023-02-14,178.63807678222656,180.65855308285208,175.05497305900255,176.32896751888825,24034600,META
2023-02-15,176.32894897460938,177.354116046433,174.50753165229477,175.59241483514342,25308900,META
2023-02-16,171.63108825683594,175.025095628684,170.9841282874727,171.93963162023846,25827500,META
2023-02-17,172.0690460205078,172.36762660759723,168.90395511245242,169.4215201087607,24171300,META
2023-02-21,171.27279663085938,177.33422557764814,171.07373784262953,173.49233173468545,34592600,META
2023-02-22,170.3173065185547,171.94961300936373,168.89402164343807,170.26755320801132,22433200,META
2023-02-23,171.2329559326172,172.8752249165705,168.58544550003143,171.19315025446542,20017800,META
2023-02-24,169.59071350097656,169.91916731977852,166.8735239655202,167.84892261131276,19791300,META
2023-02-27,168.74468994140625,172.30789816892718,168.26694584901335,171.07372466464466,19277000,META
2023-02-28,174.11936950683594,176.7171267627219,171.06376340066032,171.0936214575041,46051100,META
2023-03-01,172.60650634765625,177.01573366141542,172.23824683192723,173.771016199502,30998400,META
2023-03-02,173.7113037109375,174.18904784770294,170.6258392892335,171.57139512593176,17352000,META
2023-03-03,184.38101196289062,185.74458057876782,176.21948032775157,178.08070349683496,45877700,META
2023-03-06,184.03265380859375,188.7703350321703,183.7738788997343,187.11811821575978,33209400,META
2023-03-07,183.6444549560547,189.46701858054126,183.14680046463567,188.1133977563931,36701500,META
2023-03-08,184.10232543945312,184.39095839607606,180.48934854659495,182.01217025459715,19432400,META
2023-03-09,180.8376922607422,188.04371960612082,179.45421337643248,185.47583578465034,26582800,META
2023-03-10,178.66793823242188,183.9032740280053,177.96127724794607,180.16090194224154,25665000,META
2023-03-13,180.05140686035156,182.91790187644207,173.99994100648928,177.12521091650575,24728000,META
2023-03-14,193.10987854003906,193.40847431166495,185.68486586763575,186.70008541627902,41642600,META
2023-03-15,196.82237243652344,196.85223049422967,189.94478298357055,192.04488576977488,42123600,META
2023-03-16,203.9686737060547,204.79478202940618,195.17014546202856,197.32996425031396,50447100,META
2023-03-17,194.69241333007812,200.95290087614472,194.5132497950303,199.61919032932525,50141100,META
2023-03-20,196.88211059570312,198.4248428945065,192.73167305050785,197.54896593782573,25186300,META
2023-03-21,201.21168518066406,202.59516418009426,197.02142731474626,202.24679993080582,31827000,META
2023-03-22,198.87271118164062,206.39724563624534,198.73336851348913,201.55009512210543,28477800,META
2023-03-23,203.3217315673828,206.90485022311938,201.2017184304711,201.88848410508817,27389700,META
2023-03-24,205.0436248779297,206.60626747501993,202.59517296507255,204.21751649177017,27716400,META
2023-03-27,201.88848876953125,204.89432642311226,200.41543559356643,203.84924885877598,18527200,META
2023-03-28,199.73861694335938,200.08698119285827,196.97165894282725,199.21110435106297,19127300,META
2023-03-29,204.38673400878906,204.75499352353694,201.58990262238925,202.60512217791344,18851100,META
2023-03-30,206.8650360107422,207.1138632813057,201.86859535261925,202.42596600872767,22608300,META
2023-03-31,210.94581604003906,211.17473288382774,205.80006974339463,206.26786624192704,25440300,META
2023-04-03,212.0705108642578,212.4885388512506,207.22334536538006,207.8603425627802,17924600,META
2023-04-04,213.71275329589844,215.2256272538082,211.5429717419898,212.38899048112867,21026400,META
2023-04-05,210.4879608154297,214.18056419915374,208.95519150856262,213.14543424703638,19396600,META
2023-04-06,215.08628845214844,215.92234439628268,207.6712239946029,208.26841549024772,26104400,META
2023-04-10,213.74264526367188,214.64838025756657,209.67183438413997,213.70283957905806,16106100,META
2023-04-11,212.84686279296875,215.00668177517124,212.40892434732177,214.469206341982,16710100,META
2023-04-12,212.9961395263672,215.8228136209453,211.5828024790781,213.83219549453068,18972200,META
2023-04-13,219.31637573242188,220.11261089704294,214.6782314811641,214.71803716451024,23310400,META
2023-04-14,220.45101928710938,221.06810607273064,216.52949898072916,216.85795280807292,21591200,META
2023-04-17,217.83335876464844,219.9434092793781,216.11147820663248,218.75898897403798,15481900,META
2023-04-18,216.86788940429688,219.40593053219777,215.1957774816206,218.87841794798126,12281000,META
2023-04-19,214.6881561279297,216.31051471727406,211.9311458445043,212.46862122903303,15898100,META
2023-04-20,212.0705108642578,215.7332409525059,211.77191510577404,212.47857604073408,16475400,META
2023-04-21,211.89137268066406,212.40893771146614,208.59690169437602,209.2239513434783,17717200,META
2023-04-24,211.79180908203125,212.91651318444914,209.72157959330661,212.67763354165274,15750900,META
2023-04-25,206.57640075683594,210.2689889060037,206.1583727694138,209.8310656719504,19198200,META
2023-04-26,208.417724609375,213.10563726845726,207.90017479939294,211.50318897041646,41992700,META
2023-04-27,237.44093322753906,240.55625552795624,235.65933664521174,238.7646961349494,71196500,META
2023-04-28,239.19268798828125,239.302157408545,234.64411815351386,237.88882032208997,39554000,META
2023-05-01,242.0392608642578,242.85542162022017,235.3507976508865,237.50065377540756,29143900,META
2023-05-02,238.1177520751953,243.77110041454424,237.86892480278289,242.0392571311576,24350100,META
2023-05-03,235.91812133789062,240.6159816358931,231.65819948605633,238.34667803957808,34463900,META
2023-05-04,232.42457580566406,237.08261491383803,231.83733191833227,234.9526541341907,17889400,META
2023-05-05,231.6880340576172,233.579115133768,228.77178589877687,231.15057386548511,26978900,META
